"","symbol","date","price"
"1","CAURN",1976-01-01,10.5
"2","CAURN",1976-02-01,10.1
"3","CAURN",1976-03-01,9.4
"4","CAURN",1976-04-01,8.8
"5","CAURN",1976-05-01,7.8
"6","CAURN",1976-06-01,8.9
"7","CAURN",1976-07-01,9.5
"8","CAURN",1976-08-01,9.1
"9","CAURN",1976-09-01,8.9
"10","CAURN",1976-10-01,8.9
"11","CAURN",1976-11-01,9.4
"12","CAURN",1976-12-01,9.1
"13","CAURN",1977-01-01,10
"14","CAURN",1977-02-01,9.9
"15","CAURN",1977-03-01,9.3
"16","CAURN",1977-04-01,8.5
"17","CAURN",1977-05-01,7.6
"18","CAURN",1977-06-01,8.6
"19","CAURN",1977-07-01,8.6
"20","CAURN",1977-08-01,8.2
"21","CAURN",1977-09-01,7.7
"22","CAURN",1977-10-01,7.4
"23","CAURN",1977-11-01,7.8
"24","CAURN",1977-12-01,7.1
"25","CAURN",1978-01-01,8.2
"26","CAURN",1978-02-01,8.1
"27","CAURN",1978-03-01,8
"28","CAURN",1978-04-01,7.3
"29","CAURN",1978-05-01,6.7
"30","CAURN",1978-06-01,7.1
"31","CAURN",1978-07-01,7.8
"32","CAURN",1978-08-01,6.9
"33","CAURN",1978-09-01,6.6
"34","CAURN",1978-10-01,6.2
"35","CAURN",1978-11-01,6.5
"36","CAURN",1978-12-01,6.4
"37","CAURN",1979-01-01,7.2
"38","CAURN",1979-02-01,7
"39","CAURN",1979-03-01,6.7
"40","CAURN",1979-04-01,6.1
"41","CAURN",1979-05-01,5.5
"42","CAURN",1979-06-01,6.1
"43","CAURN",1979-07-01,6.4
"44","CAURN",1979-08-01,6.3
"45","CAURN",1979-09-01,5.9
"46","CAURN",1979-10-01,5.9
"47","CAURN",1979-11-01,5.9
"48","CAURN",1979-12-01,5.7
"49","CAURN",1980-01-01,6.8
"50","CAURN",1980-02-01,6.7
"51","CAURN",1980-03-01,6.5
"52","CAURN",1980-04-01,6.7
"53","CAURN",1980-05-01,6.7
"54","CAURN",1980-06-01,7.2
"55","CAURN",1980-07-01,7.6
"56","CAURN",1980-08-01,7.3
"57","CAURN",1980-09-01,6.8
"58","CAURN",1980-10-01,6.8
"59","CAURN",1980-11-01,7
"60","CAURN",1980-12-01,6.5
"61","CAURN",1981-01-01,7.9
"62","CAURN",1981-02-01,7.8
"63","CAURN",1981-03-01,7.4
"64","CAURN",1981-04-01,6.9
"65","CAURN",1981-05-01,6.6
"66","CAURN",1981-06-01,7.1
"67","CAURN",1981-07-01,7.3
"68","CAURN",1981-08-01,7.1
"69","CAURN",1981-09-01,7.1
"70","CAURN",1981-10-01,7.5
"71","CAURN",1981-11-01,8.1
"72","CAURN",1981-12-01,8.3
"73","CAURN",1982-01-01,9.5
"74","CAURN",1982-02-01,9.7
"75","CAURN",1982-03-01,9.7
"76","CAURN",1982-04-01,9.6
"77","CAURN",1982-05-01,9.2
"78","CAURN",1982-06-01,9.9
"79","CAURN",1982-07-01,10.6
"80","CAURN",1982-08-01,10.1
