symbol,date,price,MA(5),TREND ,SERIE SIN TENDENCIA,,Estacionalidad ,,,
CAURN,01/01/1976,10.5,,,,,,,,
CAURN,01/02/1976,10.1,,,,,,,,
CAURN,01/03/1976,9.4,9.32,,,,,,1,0.491651206
CAURN,01/04/1976,8.8,9,,,,,,2,0.315955473
CAURN,01/05/1976,7.8,8.88,,,,,,3,0.179962894
CAURN,01/06/1976,8.9,8.82,9.209090909,-0.309090909,6,0.094727273,,4,-0.09109462
CAURN,01/07/1976,9.5,8.84,9.081818182,0.418181818,7,0.408436364,,5,-0.334471243
CAURN,01/08/1976,9.1,9.06,9.072727273,0.027272727,8,0.079962894,,6,0.094727273
CAURN,01/09/1976,8.9,9.16,9.118181818,-0.218181818,9,-0.251205937,,7,0.408436364
CAURN,01/10/1976,8.9,9.08,9.163636364,-0.263636364,10,-0.332096475,,8,0.079962894
CAURN,01/11/1976,9.4,9.26,9.227272727,0.172727273,11,-0.246382189,,9,-0.251205937
CAURN,01/12/1976,9.1,9.46,9.109090909,-0.009090909,12,-0.318923933,,10,-0.332096475
CAURN,01/01/1977,10,9.54,9.027272727,0.972727273,1,0.491651206,,11,-0.246382189
CAURN,01/02/1977,9.9,9.36,8.981818182,0.918181818,2,0.315955473,,12,-0.318923933
CAURN,01/03/1977,9.3,9.06,8.918181818,0.381818182,3,0.179962894,,,
CAURN,01/04/1977,8.5,8.78,8.809090909,-0.309090909,4,-0.09109462,,,
CAURN,01/05/1977,7.6,8.52,8.627272727,-1.027272727,5,-0.334471243,,,
CAURN,01/06/1977,8.6,8.3,8.509090909,0.090909091,6,0.094727273,,,
CAURN,01/07/1977,8.6,8.14,8.245454545,0.354545455,7,0.408436364,,,
CAURN,01/08/1977,8.2,8.1,8.090909091,0.109090909,8,0.079962894,,,
CAURN,01/09/1977,7.7,7.94,7.981818182,-0.281818182,9,-0.251205937,,,
CAURN,01/10/1977,7.4,7.64,7.936363636,-0.536363636,10,-0.332096475,,,
CAURN,01/11/1977,7.8,7.64,7.909090909,-0.109090909,11,-0.246382189,,,
CAURN,01/12/1977,7.1,7.72,7.736363636,-0.636363636,12,-0.318923933,,,
CAURN,01/01/1978,8.2,7.84,7.6,0.6,1,0.491651206,,,
CAURN,01/02/1978,8.1,7.74,7.563636364,0.536363636,2,0.315955473,,,
CAURN,01/03/1978,8,7.66,7.490909091,0.509090909,3,0.179962894,,,
CAURN,01/04/1978,7.3,7.44,7.418181818,-0.118181818,4,-0.09109462,,,
CAURN,01/05/1978,6.7,7.38,7.272727273,-0.572727273,5,-0.334471243,,,
CAURN,01/06/1978,7.1,7.16,7.218181818,-0.118181818,6,0.094727273,,,
CAURN,01/07/1978,7.8,7.02,7.054545455,0.745454545,7,0.408436364,,,
CAURN,01/08/1978,6.9,6.92,6.972727273,-0.072727273,8,0.079962894,,,
CAURN,01/09/1978,6.6,6.8,6.881818182,-0.281818182,9,-0.251205937,,,
CAURN,01/10/1978,6.2,6.52,6.827272727,-0.627272727,10,-0.332096475,,,
CAURN,01/11/1978,6.5,6.58,6.772727273,-0.272727273,11,-0.246382189,,,
CAURN,01/12/1978,6.4,6.66,6.627272727,-0.227272727,12,-0.318923933,,,
CAURN,01/01/1979,7.2,6.76,6.472727273,0.727272727,1,0.491651206,,,
CAURN,01/02/1979,7,6.68,6.427272727,0.572727273,2,0.315955473,,,
CAURN,01/03/1979,6.7,6.5,6.4,0.3,3,0.179962894,,,
CAURN,01/04/1979,6.1,6.28,6.372727273,-0.272727273,4,-0.09109462,,,
